"HOUSEHOLD DATA
 ANNUAL AVERAGES
 39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2025,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Welding, soldering, and brazing workers",520,1062,488,1073,32,–
Other metal workers and plastic workers,297,978,252,1009,46,–
Prepress technicians and workers,6,–,4,–,2,–
Printing press operators,123,936,106,965,17,–
Print binding and finishing workers,0,–,0,–,0,–
Laundry and dry-cleaning workers,97,658,28,–,69,622
"Pressers, textile, garment, and related materials",12,–,7,–,5,–
Sewing machine operators,60,710,18,–,43,–
Shoe and leather workers,4,–,3,–,1,–
"Tailors, dressmakers, and sewers",21,–,15,–,6,–
"Textile machine setters, operators, and tenders",13,–,6,–,7,–
Upholsterers,13,–,11,–,2,–
"Other textile, apparel, and furnishings workers",8,–,4,–,4,–
Cabinetmakers and bench carpenters,24,–,24,–,0,–
Furniture finishers,13,–,13,–,0,–
"Sawing machine setters, operators, and tenders, wood",15,–,15,–,0,–
"Woodworking machine setters, operators, and tenders, except sawing",2,–,2,–,0,–
Other woodworkers,18,–,18,–,0,–
"Power plant operators, distributors, and dispatchers",41,–,38,–,3,–
Stationary engineers and boiler operators,116,1390,110,1379,6,–
Water and wastewater treatment plant and system operators,108,1209,100,1227,8,–
Miscellaneous plant and system operators,46,–,44,–,2,–
"Chemical processing machine setters, operators, and tenders",48,–,42,–,7,–
"Crushing, grinding, polishing, mixing, and blending workers",63,1023,50,1083,13,–
Cutting workers,25,–,19,–,5,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",16,–,11,–,5,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,–,10,–,1,–
"Inspectors, testers, sorters, samplers, and weighers",655,1042,427,1090,228,955
Jewelers and precious stone and metal workers,15,–,9,–,5,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,68,947,29,–,39,–
Packaging and filling machine operators and tenders,227,741,103,902,124,690
Painting workers,150,909,134,945,16,–
Photographic process workers and processing machine operators,18,–,14,–,4,–
Adhesive bonding machine operators and tenders,6,–,4,–,3,–
Etchers and engravers,1,–,0,–,0,–
"Molders, shapers, and casters, except metal and plastic",23,–,18,–,5,–
"Paper goods machine setters, operators, and tenders",18,–,15,–,2,–
Tire builders,14,–,9,–,5,–
Helpers--production workers,41,–,25,–,16,–
Other production equipment operators and tenders,7,–,6,–,1,–
Other production workers,1204,911,866,967,338,787
Transportation and material moving occupations,8788,895,7090,940,1698,754
Supervisors of transportation and material moving workers,289,1138,200,1277,88,916
Aircraft pilots and flight engineers,149,2124,142,2123,7,–
Air traffic controllers and airfield operations specialists,40,–,30,–,10,–
Flight attendants,65,1247,23,–,42,–
"Ambulance drivers and attendants, except emergency medical technicians",9,–,7,–,2,–
"Bus drivers, school",129,925,70,958,59,871
"Bus drivers, transit and intercity",176,948,111,1048,66,856
Driver/sales workers and truck drivers,2776,1055,2603,1076,173,795
Shuttle drivers and chauffeurs,48,–,37,–,11,–
Taxi drivers,314,825,279,859,34,–
"Motor vehicle operators, all other",75,833,59,896,16,–
Locomotive engineers and operators,32,–,31,–,0,–
Railroad conductors and yardmasters,51,1666,47,–,4,–
Other rail transportation workers,27,–,22,–,6,–
Sailors and marine oilers,18,–,16,–,2,–
Ship and boat captains and operators,34,–,32,–,3,–
Ship engineers,4,–,2,–,2,–
Parking attendants,47,–,38,–,9,–
Transportation service attendants,67,793,57,783,10,–
Transportation inspectors,48,–,41,–,7,–
Passenger attendants,20,–,8,–,12,–
Other transportation workers,41,–,27,–,14,–
Crane and tower operators,52,1260,49,–,3,–
"Conveyor, dredge, and hoist and winch operators",22,–,20,–,3,–
Industrial truck and tractor operators,584,898,548,901,36,–
Cleaners of vehicles and equipment,245,751,194,766,51,702
"Laborers and freight, stock, and material movers, hand",1646,819,1271,854,375,732
Machine feeders and offbearers,16,–,8,–,9,–
"Packers and packagers, hand",440,719,186,707,255,724
Stockers and order fillers,1124,743,750,760,374,716
Pumping station operators,20,–,20,–,0,–
Refuse and recyclable material collectors,116,943,110,950,6,–
Other material moving workers,64,1007,52,1081,11,–
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000). Annual estimates for 2025 are 11-month averages that exclude October. (Data for October 2025 were not collected due to the federal government shutdown.) As a result, 2025 annual estimates are not strictly comparable with annual averages for other years.",,,,,,
