"HOUSEHOLD DATA
 ANNUAL AVERAGES
 39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2025,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Environmental scientists and specialists, including health",57,1839,32,–,26,–
"Geoscientists and hydrologists, except geographers",49,–,39,–,10,–
"Physical scientists, all other",350,1752,195,1977,156,1566
Economists,36,–,23,–,13,–
Survey researchers,0,–,0,–,0,–
Clinical and counseling psychologists,9,–,4,–,5,–
School psychologists,32,–,11,–,21,–
Other psychologists,75,1912,29,–,45,–
Sociologists,5,–,0,–,5,–
Urban and regional planners,39,–,14,–,25,–
Miscellaneous social scientists and related workers,39,–,21,–,18,–
Agricultural and food science technicians,50,975,30,–,20,–
Biological technicians,32,–,13,–,19,–
Chemical technicians,65,1126,39,–,26,–
Environmental science and geoscience technicians,14,–,11,–,3,–
Nuclear technicians,0,–,0,–,0,–
Social science research assistants,7,–,3,–,4,–
"Other life, physical, and social science technicians",322,1236,135,1440,187,1147
Occupational health and safety specialists and technicians,65,1173,37,–,28,–
Community and social service occupations,2234,1252,673,1356,1562,1225
Substance abuse and behavioral disorder counselors,106,1120,28,–,78,1155
"Educational, guidance, and career counselors and advisors",302,1330,63,1160,240,1396
Marriage and family therapists,18,–,2,–,16,–
Mental health counselors,117,1371,21,–,96,1341
Rehabilitation counselors,11,–,3,–,8,–
"Counselors, all other",186,1149,52,1073,135,1155
"Child, family, and school social workers",67,1426,13,–,54,1427
Healthcare social workers,103,1361,16,–,87,1347
Mental health and substance abuse social workers,30,–,8,–,22,–
"Social workers, all other",525,1298,85,1536,439,1255
Probation officers and correctional treatment specialists,69,1296,32,–,37,–
Social and human service assistants,182,1071,31,–,150,992
Other community and social service specialists,118,1275,39,–,79,1196
Clergy,283,1367,229,1379,54,1267
"Directors, religious activities and education",53,1198,20,–,33,–
"Religious workers, all other",66,1019,31,–,35,–
Legal occupations,1463,1933,612,2687,851,1592
Lawyers,872,2622,477,2890,395,2321
Judicial law clerks,13,–,2,–,11,–
"Judges, magistrates, and other judicial workers",56,2292,27,–,30,–
Paralegals and legal assistants,378,1232,59,1896,319,1166
"Title examiners, abstractors, and searchers",78,1142,20,–,58,962
"Legal support workers, all other",66,1280,27,–,39,–
"Education, training, and library occupations",7535,1250,1973,1467,5562,1172
Postsecondary teachers,876,1875,421,1967,455,1739
Preschool and kindergarten teachers,504,840,8,–,496,835
Elementary and middle school teachers,3228,1275,691,1386,2537,1259
Secondary school teachers,733,1455,334,1504,400,1405
Special education teachers,323,1287,65,1429,257,1261
Tutors,29,–,3,–,26,–
Other teachers and instructors,562,1189,200,1401,362,1117
"Archivists, curators, and museum technicians",61,1329,19,–,42,–
Librarians and media collections specialists,163,1217,24,–,140,1162
Library technicians,17,–,5,–,13,–
Teaching assistants,930,766,176,879,753,745
Other educational instruction and library workers,108,1304,27,–,81,1274
"Arts, design, entertainment, sports, and media occupations",1853,1413,991,1501,862,1348
Artists and related workers,82,1516,47,–,35,–
Commercial and industrial designers,16,–,11,–,5,–
Fashion designers,20,–,6,–,15,–
Floral designers,18,–,4,–,14,–
Graphic designers,206,1231,102,1253,103,1166
Interior designers,64,1400,13,–,51,1402
Merchandise displayers and window trimmers,24,–,12,–,12,–
Other designers,268,1519,152,1632,116,1429
Actors,17,–,11,–,6,–
Producers and directors,169,1790,89,1773,80,1802
Athletes and sports competitors,31,–,28,–,3,–
Coaches and scouts,178,1163,109,1280,69,1128
